0, 51
1, 52
2, 50
3, 52
4, 50
5, 48
6, 33
7, 48
8, 43
9, 42
10, 26
11, 18
12, 14
13, 12
14, 10
15, 9
16, 7
17, 5
18, 3
19, 2
20, 1
21, 3
22, 1
23, 3
24, 1
25, 3
26, 1
27, 3
28, 1
29, 3
30, 1
31, 3
32, 1
33, 3
34, 1
35, 3
36, 1
37, 3
38, 1
39, 3
40, 3
41, 3
42, 1
43, 3
44, 1
45, 3
46, 1
47, 3
48, 3
49, 3
50, 1
51, 3
52, 3
53, 1
54, 3
55, 1
56, 3
57, 1
58, 3
59, 3
60, 1
61, 3
62, 3
63, 3
64, 1
65, 3
66, 1
67, 3
68, 1
69, 3
70, 1
71, 3
72, 1
73, 3
74, 1
75, 3
76, 3
77, 1
78, 3
79, 1
80, 3
81, 3
82, 1
83, 3
84, 1
85, 3
86, 1
87, 3
88, 3
89, 1
90, 3
91, 1
92, 3
93, 3
94, 3
95, 3
96, 3
97, 3
98, 1
99, 3
100, 1
101, 3
102, 3
103, 1
104, 3
105, 1
106, 3
107, 3
108, 1
109, 3
110, 1
111, 3
112, 3
113, 1
114, 3
115, 1
116, 3
117, 3
118, 1
119, 3
120, 1
121, 3
122, 3
123, 1
124, 3
125, 1
126, 3
127, 1
128, 3
129, 3
130, 3
131, 3
132, 1
133, 3
134, 1
135, 3
136, 1
137, 3
138, 3
139, 1
140, 3
141, 1
142, 3
143, 3
144, 1
145, 3
146, 3
147, 1
148, 3
149, 1
150, 3
151, 1
152, 3
153, 1
154, 3
155, 1
156, 3
157, 1
158, 3
159, 1
160, 3
161, 1
162, 3
163, 1
164, 3
165, 1
166, 3
167, 1
168, 3
169, 1
170, 3
171, 3
172, 1
173, 3
174, 1
175, 3
176, 1
177, 3
178, 3
179, 1
180, 3
181, 1
182, 3
183, 3
184, 1
185, 3
186, 1
187, 3
188, 3
189, 1
190, 3
191, 1
192, 3
193, 1
194, 3
195, 1
196, 3
197, 3
198, 3
199, 3
200, 3
